n,func,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses
H_DIV,137,106437.77777777778,618349.1111111111,12.666666666666666,24.333333333333332,327693.55555555556,621936.5555555555,178695.0
H_DIV,271828,106410.66666666667,617980.5555555555,13.555555555555555,23.333333333333332,327431.6666666667,622059.2222222222,190799.0
H_DIV,314159,106332.0,617718.8888888889,12.88888888888889,23.555555555555557,327246.22222222225,622390.4444444445,226415.0
H_FOLD,137,141753.77777777778,1174124.3333333333,21.22222222222222,43.0,605500.6666666666,1175818.888888889,13346.0
H_FOLD,271828,141712.44444444444,1172990.5555555555,22.0,44.44444444444444,605174.5555555555,1174805.5555555555,11462.0
H_FOLD,314159,141743.55555555556,1172050.888888889,40.55555555555556,83.0,603808.6666666666,1174458.111111111,10709.0
H_MUL,137,106404.0,618041.6666666666,14.666666666666666,26.666666666666668,327579.77777777775,621883.8888888889,158978.33333333334
H_MUL,271828,106262.66666666667,617459.1111111111,12.222222222222221,24.22222222222222,327044.77777777775,622033.6666666666,167287.0
H_MUL,314159,106363.55555555556,618096.1111111111,50.666666666666664,97.55555555555556,327488.77777777775,621944.8888888889,209994.0
